Weng	46	55	165	0	0	0	70	37	44	8	9	6	Ahmad
Vela	76	58.5	181.24	28	40	34	69	0	33	8	4	6	Tyler 
Baysinger	66	0	198	0	20	0	55	0	33	1	0	4	Aerina 
Williams	64	92.5	177.3	44	35	32	0	27	50	8	10	6	Tyler 
Nguyen	83	56.5	143.81	33	40	43	0	46	44	0	10	6	Victor
Saad	65	56	186	25	30	0	42	44	22	9	7	6	Joel 
Truong	63	34.5	157.6	38	40	31	0	35	44	6	0	6	Johnny 
Alabedredha	84	56	135	0	20	0	36	32	39	10	0	5	Jola
Plumer	62	79	186	44	30	47	0	0	33	0	0	5	Juan 
Marquez	85	77	144	43	40	39	0	0	44	9	0	6	Justin
Pradhan	47	0	81	0	40	0	68	44	0	0	0	4	Kendrick
Rodriguez	75	51	189.12	31	35	31	65	0	22	4	10	5	Rick
Shakya	26	71	163.51	48	30	46	28	22	0	0	0	6	Ryan
Ajayi	72	40	126	31	40	19	0	27	44	2	9	5	Sabreen 
Sifuentes	89	57	155.63	30	0	29	55	47	0	9	7	6	Thomas
Heinen	62	86.5	150	0	0	45	20	38	33	0	0	5	Tiffany
Ruckdeschell	80	87.5	62	0	0	0	0	31	33	0	0	5	Tre'
Jimenez	60	0	189.12	0	30	0	0	0	39	0	0	3	Vishal
Shrestha	84	78	186	49	35	50	0	50	33	5	0	5	Yunesh 
Karki	31	63.5	193.06	43	50	50	49	0	0	0	0	5	An San Suu
Adedeji	86	54.5	155.63	34	0	0	30	0	33	0	10	4	Anita 
Sawall	21	72	198.97	50	0	35	0	39	50	8	0	5	Bakary
Crist	45	89	50	43	30	47	0	38	39	0	0	6	Blake 
Camara	67	50	99	37	0	40	0	45	0	7	0	4	Chris
Oniomoba	73	31	198.97	27	50	0	28	38	0	0	0	6	Daniel
Ly	92	52	155.63	33	45	0	70	36	39	2	0	5	Francisco
Barron	65	24	150	0	30	38	0	0	0	8	0	5	Hoang
Sayan	57	55	101	45	35	0	54	34	33	0	0	6	Jim Bob
Lewis	59	66	167.45	0	40	44	0	0	0	9	0	4	Leko
Aceves	85	51.5	165	30	0	33	0	0	28	8	10	5	Ly Anna
Lynch	84	75.5	133.96	49	35	45	70	50	39	10	7	6	Man u'El
Kurhan	63	92.5	163.51	48	30	45	0	50	44	10	10	5	At'Lantic 
Kieu	41	78.5	98	48	40	50	56	47	44	2	10	6	Raju
